gene	hugo	beta
ENSG00000180953	NA	0.0368790211582764
ENSG00000127920	GNG11	0.0368386674431463
ENSG00000002933	TMEM176A	-0.0360330070649889
ENSG00000144395	CCDC150	-0.0359926595790484
ENSG00000157181	C1orf27	-0.0358153183077815
ENSG00000230453	ANKRD18B	0.0355059916100563
ENSG00000006210	CX3CL1	0.0339172335739877
ENSG00000137880	GCHFR	0.0323780105494824
ENSG00000162931	TRIM17	0.0318037818487317
ENSG00000108387	SEPT4	0.0307734394001576
ENSG00000112936	C7	0.0301835928187547
ENSG00000258986	TMEM179	0.0292910099470765
ENSG00000180089	NA	-0.028399239584775
ENSG00000051620	HEBP2	-0.0283304824043916
ENSG00000113209	PCDHB5	-0.0273215045954767
ENSG00000112964	GHR	0.0242357996892195
ENSG00000198208	NA	0.0226764465116861
ENSG00000143127	ITGA10	0.0222849842353784
ENSG00000183837	PNMA3	0.0220226011769692
ENSG00000151665	PIGF	0.0209792301221029
ENSG00000103269	RHBDL1	-0.0205795690961529
ENSG00000187961	KLHL17	-0.0193998600752173
ENSG00000174428	GTF2IRD2B	-0.0192998622701735
ENSG00000172057	ORMDL3	0.0192066503827671
ENSG00000118690	ARMC2	0.0188517408656292
ENSG00000241935	HOGA1	0.0172102836974676
ENSG00000138101	DTNB	-0.0145970402807518
ENSG00000154134	ROBO3	-0.01451789287968
ENSG00000042062	RIPOR3	0.0142701364183057
ENSG00000141526	SLC16A3	0.014117152921105
ENSG00000053524	MCF2L2	-0.0138612216311961
ENSG00000171811	CFAP46	-0.0123060468391518
ENSG00000185745	IFIT1	0.0123046230903248
ENSG00000243667	WDR92	0.0122430756298809
ENSG00000144681	STAC	-0.0119265318604039
ENSG00000095303	PTGS1	0.0118433567597063
ENSG00000103226	NOMO3	0.0112154075797086
ENSG00000160678	S100A1	0.0108876359401991
ENSG00000173599	PC	0.00997042347318866
ENSG00000144535	DIS3L2	0.00984252412052294
ENSG00000254995	STX16-NPEPL1	-0.00936880204418549
ENSG00000157734	SNX22	-0.00936512412647667
ENSG00000068489	NA	0.00903210205145753
ENSG00000213658	LAT	-0.00896102033851024
ENSG00000186364	NUDT17	-0.00745356105684522
ENSG00000177030	DEAF1	-0.00687485907237066
ENSG00000126562	WNK4	-0.00684109395594691
ENSG00000092931	MFSD11	0.00600945726661645
ENSG00000278882	NA	0.00582338178290825
ENSG00000167646	DNAAF3	0.00563986059373837
ENSG00000132406	TMEM128	0.0056377726545239
ENSG00000067365	METTL22	-0.00559358290116712
ENSG00000262655	SPON1	0.00538339038214905
ENSG00000063127	SLC6A16	0.00508692682518308
ENSG00000146094	DOK3	-0.00479591575029991
ENSG00000113356	POLR3G	0.00450640382853921
ENSG00000106089	STX1A	-0.0040420975327375
ENSG00000188092	GPR89B	0.00340127763355352
ENSG00000182774	RPS17	-0.00324506509786708
ENSG00000110721	CHKA	-0.00322882137216269
ENSG00000128694	OSGEPL1	0.00231170911991217
ENSG00000144668	ITGA9	0.00137072654104089
ENSG00000273899	NOL12	0.000379892670909447
ENSG00000196867	NA	-0.000317187609836897
ENSG00000145423	SFRP2	-3.66264467131554e-06
