experiment	row	column	absorbance	reading	name	type	cell_line	dosage	known_conc
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	4	8.4000000000000005E-2	1	21-1 2.5	unknown	c21.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	4	7.3999999999999996E-2	1	21-1 5	unknown	c21.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	4	5.8000000000000003E-2	1	41-1 control	unknown	c41.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	4	4.9000000000000002E-2	1	64-1 control	unknown	c64.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	4	5.2999999999999999E-2	1	39-1 control	unknown	c39.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	5	8.4000000000000005E-2	1	47-1 control	unknown	c47.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	5	9.5000000000000001E-2	1	47-1 0.625	unknown	c47.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	5	0.10199999999999999	1	47-1 1.25	unknown	c47.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	5	0.109	1	47-1 2.5	unknown	c47.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	5	0.11600000000000001	1	47-1 5	unknown	c47.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	5	0.06	1	41-1 0.625	unknown	c41.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	5	5.0999999999999997E-2	1	64-1 0.625	unknown	c64.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	5	5.3999999999999999E-2	1	39-1 0.625	unknown	c39.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	6	7.3999999999999996E-2	1	47-1 control	unknown	c47.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	6	8.1000000000000003E-2	1	47-1 0.625	unknown	c47.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	6	0.104	1	47-1 1.25	unknown	c47.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	6	9.4E-2	1	47-1 2.5	unknown	c47.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	6	0.107	1	47-1 5	unknown	c47.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	6	5.2999999999999999E-2	1	41-1 0.625	unknown	c41.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	6	4.9000000000000002E-2	1	64-1 0.625	unknown	c64.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	6	5.6000000000000001E-2	1	39-1 0.625	unknown	c39.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	7	7.0999999999999994E-2	1	70-1 control	unknown	c70.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	7	6.7000000000000004E-2	1	70-1 0.625	unknown	c70.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	7	8.3000000000000004E-2	1	70-1 1.25	unknown	c70.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	7	7.2999999999999995E-2	1	70-1 2.5	unknown	c70.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	7	7.0999999999999994E-2	1	70-1 5	unknown	c70.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	7	6.5000000000000002E-2	1	41-1 1.25	unknown	c41.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	7	5.0999999999999997E-2	1	64-1 1.25	unknown	c64.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	7	6.6000000000000003E-2	1	39-1 1.25	unknown	c39.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	8	6.9000000000000006E-2	1	70-1 control	unknown	c70.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	8	7.0000000000000007E-2	1	70-1 0.625	unknown	c70.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	8	8.6999999999999994E-2	1	70-1 1.25	unknown	c70.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	8	0.10100000000000001	1	70-1 2.5	unknown	c70.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	8	7.2999999999999995E-2	1	70-1 5	unknown	c70.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	8	6.5000000000000002E-2	1	41-1 1.25	unknown	c41.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	8	5.0999999999999997E-2	1	64-1 1.25	unknown	c64.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	8	6.4000000000000001E-2	1	39-1 1.25	unknown	c39.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	9	7.6999999999999999E-2	1	52-1 control	unknown	c52.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	9	7.6999999999999999E-2	1	52-1 0.625	unknown	c52.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	9	7.4999999999999997E-2	1	52-1 1.25	unknown	c52.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	9	7.6999999999999999E-2	1	52-1 2.5	unknown	c52.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	9	0.108	1	52-1 5	unknown	c52.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	9	6.7000000000000004E-2	1	41-1 2.5	unknown	c41.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	9	0.05	1	64-1 2.5	unknown	c64.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	9	7.5999999999999998E-2	1	39-1 2.5	unknown	c39.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	10	7.4999999999999997E-2	1	52-1 control	unknown	c52.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	10	7.8E-2	1	52-1 0.625	unknown	c52.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	10	7.3999999999999996E-2	1	52-1 1.25	unknown	c52.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	10	7.9000000000000001E-2	1	52-1 2.5	unknown	c52.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	10	0.109	1	52-1 5	unknown	c52.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	10	6.2E-2	1	41-1 2.5	unknown	c41.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	10	5.0999999999999997E-2	1	64-1 2.5	unknown	c64.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	10	8.1000000000000003E-2	1	39-1 2.5	unknown	c39.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	11	7.0999999999999994E-2	1	19-1 control	unknown	c19.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	11	8.2000000000000003E-2	1	19-1 0.625	unknown	c19.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	11	7.1999999999999995E-2	1	19-1 1.25	unknown	c19.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	11	9.7000000000000003E-2	1	19-1 2.5	unknown	c19.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	11	0.106	1	19-1 5	unknown	c19.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	11	6.3E-2	1	41-1 5	unknown	c41.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	11	0.05	1	64-1 5	unknown	c64.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	11	7.2999999999999995E-2	1	39-1 5	unknown	c39.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	12	7.5999999999999998E-2	1	19-1 control	unknown	c19.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	12	8.3000000000000004E-2	1	19-1 0.625	unknown	c19.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	12	8.8999999999999996E-2	1	19-1 1.25	unknown	c19.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	12	0.108	1	19-1 2.5	unknown	c19.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	12	0.10199999999999999	1	19-1 5	unknown	c19.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	12	6.5000000000000002E-2	1	41-1 5	unknown	c41.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	12	5.0999999999999997E-2	1	64-1 5	unknown	c64.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	12	8.3000000000000004E-2	1	39-1 5	unknown	c39.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	1	1.07	2	75ng/mL	standard	cNA	NA	75
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	1	0.41499999999999998	2	30ng/mL	standard	cNA	NA	30
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	1	0.10299999999999999	2	7.5ng/mL	standard	cNA	NA	7.5
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	1	6.4000000000000001E-2	2	2.0ng/mL	standard	cNA	NA	2.0
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	1	5.8000000000000003E-2	2	0ng/mL	standard	cNA	NA	0
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	1	5.0999999999999997E-2	2	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	1	5.0999999999999997E-2	2	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	1	5.2999999999999999E-2	2	water	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	2	0.97699999999999998	2	75ng/mL	standard	cNA	NA	75
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	2	0.41499999999999998	2	30ng/mL	standard	cNA	NA	30
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	2	9.6000000000000002E-2	2	7.5ng/mL	standard	cNA	NA	7.5
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	2	6.8000000000000005E-2	2	2.0ng/mL	standard	cNA	NA	2.0
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	2	5.2999999999999999E-2	2	0ng/mL	standard	cNA	NA	0
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	2	0.05	2	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	2	0.05	2	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	2	5.1999999999999998E-2	2	water	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	3	5.7000000000000002E-2	2	21-1 control	unknown	c21.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	3	5.7000000000000002E-2	2	21-1 0.625	unknown	c21.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	3	6.7000000000000004E-2	2	21-1 1.25	unknown	c21.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	3	8.7999999999999995E-2	2	21-1 2.5	unknown	c21.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	3	8.1000000000000003E-2	2	21-1 5	unknown	c21.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	3	5.2999999999999999E-2	2	41-1 control	unknown	c41.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	3	5.0999999999999997E-2	2	64-1 control	unknown	c64.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	3	5.3999999999999999E-2	2	39-1 control	unknown	c39.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	4	5.7000000000000002E-2	2	21-1 control	unknown	c21.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	4	5.7000000000000002E-2	2	21-1 0.625	unknown	c21.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	4	6.8000000000000005E-2	2	21-1 1.25	unknown	c21.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	4	8.3000000000000004E-2	2	21-1 2.5	unknown	c21.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	4	7.2999999999999995E-2	2	21-1 5	unknown	c21.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	4	5.2999999999999999E-2	2	41-1 control	unknown	c41.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	4	4.9000000000000002E-2	2	64-1 control	unknown	c64.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	4	5.2999999999999999E-2	2	39-1 control	unknown	c39.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	5	8.3000000000000004E-2	2	47-1 control	unknown	c47.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	5	9.5000000000000001E-2	2	47-1 0.625	unknown	c47.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	5	0.10100000000000001	2	47-1 1.25	unknown	c47.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	5	0.108	2	47-1 2.5	unknown	c47.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	5	0.115	2	47-1 5	unknown	c47.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	5	5.8000000000000003E-2	2	41-1 0.625	unknown	c41.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	5	5.0999999999999997E-2	2	64-1 0.625	unknown	c64.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	5	5.3999999999999999E-2	2	39-1 0.625	unknown	c39.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	6	7.1999999999999995E-2	2	47-1 control	unknown	c47.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	6	7.8E-2	2	47-1 0.625	unknown	c47.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	6	0.10299999999999999	2	47-1 1.25	unknown	c47.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	6	9.2999999999999999E-2	2	47-1 2.5	unknown	c47.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	6	0.106	2	47-1 5	unknown	c47.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	6	5.2999999999999999E-2	2	41-1 0.625	unknown	c41.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	6	0.05	2	64-1 0.625	unknown	c64.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	6	5.3999999999999999E-2	2	39-1 0.625	unknown	c39.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	7	7.0000000000000007E-2	2	70-1 control	unknown	c70.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	7	6.6000000000000003E-2	2	70-1 0.625	unknown	c70.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	7	8.2000000000000003E-2	2	70-1 1.25	unknown	c70.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	7	7.1999999999999995E-2	2	70-1 2.5	unknown	c70.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	7	7.0000000000000007E-2	2	70-1 5	unknown	c70.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	7	6.5000000000000002E-2	2	41-1 1.25	unknown	c41.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	7	0.05	2	64-1 1.25	unknown	c64.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	7	6.5000000000000002E-2	2	39-1 1.25	unknown	c39.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	8	6.9000000000000006E-2	2	70-1 control	unknown	c70.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	8	7.0000000000000007E-2	2	70-1 0.625	unknown	c70.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	8	8.5999999999999993E-2	2	70-1 1.25	unknown	c70.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	8	0.107	2	70-1 2.5	unknown	c70.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	8	7.1999999999999995E-2	2	70-1 5	unknown	c70.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	8	6.6000000000000003E-2	2	41-1 1.25	unknown	c41.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	8	0.05	2	64-1 1.25	unknown	c64.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	8	6.3E-2	2	39-1 1.25	unknown	c39.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	9	7.5999999999999998E-2	2	52-1 control	unknown	c52.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	9	7.5999999999999998E-2	2	52-1 0.625	unknown	c52.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	9	7.4999999999999997E-2	2	52-1 1.25	unknown	c52.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	9	7.6999999999999999E-2	2	52-1 2.5	unknown	c52.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	9	0.106	2	52-1 5	unknown	c52.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	9	6.6000000000000003E-2	2	41-1 2.5	unknown	c41.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	9	0.05	2	64-1 2.5	unknown	c64.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	9	7.4999999999999997E-2	2	39-1 2.5	unknown	c39.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	10	7.3999999999999996E-2	2	52-1 control	unknown	c52.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	10	7.6999999999999999E-2	2	52-1 0.625	unknown	c52.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	10	7.2999999999999995E-2	2	52-1 1.25	unknown	c52.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	10	7.8E-2	2	52-1 2.5	unknown	c52.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	10	0.108	2	52-1 5	unknown	c52.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	10	6.0999999999999999E-2	2	41-1 2.5	unknown	c41.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	10	0.05	2	64-1 2.5	unknown	c64.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	10	0.08	2	39-1 2.5	unknown	c39.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	11	7.0999999999999994E-2	2	19-1 control	unknown	c19.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	11	8.1000000000000003E-2	2	19-1 0.625	unknown	c19.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	11	7.0999999999999994E-2	2	19-1 1.25	unknown	c19.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	11	9.5000000000000001E-2	2	19-1 2.5	unknown	c19.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	11	0.105	2	19-1 5	unknown	c19.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	11	6.2E-2	2	41-1 5	unknown	c41.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	11	4.9000000000000002E-2	2	64-1 5	unknown	c64.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	11	7.1999999999999995E-2	2	39-1 5	unknown	c39.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	12	7.5999999999999998E-2	2	19-1 control	unknown	c19.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	12	8.2000000000000003E-2	2	19-1 0.625	unknown	c19.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	12	8.7999999999999995E-2	2	19-1 1.25	unknown	c19.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	12	0.107	2	19-1 2.5	unknown	c19.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	12	0.10100000000000001	2	19-1 5	unknown	c19.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	12	6.4000000000000001E-2	2	41-1 5	unknown	c41.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	12	5.0999999999999997E-2	2	64-1 5	unknown	c64.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	12	8.2000000000000003E-2	2	39-1 5	unknown	c39.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	A	1	0.46500000000000002	1	75ng/mL	standard	cNA	NA	75
cTnI_ELISA_8-12-15.xlsx.sheet.2	B	1	0.219	1	30ng/mL	standard	cNA	NA	30
cTnI_ELISA_8-12-15.xlsx.sheet.2	C	1	7.3999999999999996E-2	1	7.5ng/mL	standard	cNA	NA	7.5
cTnI_ELISA_8-12-15.xlsx.sheet.2	D	1	5.7000000000000002E-2	1	2.0ng/mL	standard	cNA	NA	2.0
cTnI_ELISA_8-12-15.xlsx.sheet.2	E	1	4.9000000000000002E-2	1	0ng/mL	standard	cNA	NA	0
cTnI_ELISA_8-12-15.xlsx.sheet.2	F	1	4.8000000000000001E-2	1	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	G	1	4.4999999999999998E-2	1	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	H	1	0.05	1	water	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	A	2	0.44500000000000001	1	75ng/mL	standard	cNA	NA	75
cTnI_ELISA_8-12-15.xlsx.sheet.2	B	2	0.21099999999999999	1	30ng/mL	standard	cNA	NA	30
cTnI_ELISA_8-12-15.xlsx.sheet.2	C	2	7.3999999999999996E-2	1	7.5ng/mL	standard	cNA	NA	7.5
cTnI_ELISA_8-12-15.xlsx.sheet.2	D	2	5.5E-2	1	2.0ng/mL	standard	cNA	NA	2.0
cTnI_ELISA_8-12-15.xlsx.sheet.2	E	2	4.9000000000000002E-2	1	0ng/mL	standard	cNA	NA	0
cTnI_ELISA_8-12-15.xlsx.sheet.2	F	2	4.8000000000000001E-2	1	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	G	2	4.5999999999999999E-2	1	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	H	2	5.0999999999999997E-2	1	water	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	A	3	6.0999999999999999E-2	1	15-1 control	unknown	c15.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	B	3	6.2E-2	1	15-1 0.625	unknown	c15.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	C	3	5.2999999999999999E-2	1	15-1 1.25	unknown	c15.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	D	3	5.6000000000000001E-2	1	15-1 2.5	unknown	c15.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	E	3	5.5E-2	1	15-1 5	unknown	c15.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	F	3	6.2E-2	1	25-1 control	unknown	c25.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.2	G	3	6.7000000000000004E-2	1	26-1 control	unknown	c26.1	C	NA
